"id","Plu","Type","Category","Commodity","Variety","Size","Measures_na","Measures_row","Restrictions","Botanical","Aka","Status","Link","Notes","Updated_by","Updated_at","Created_at","Deleted_at","Language"
"715","4236","Global","Fruits","PLATANOS","Rojo","Todos los tamaños","","","","Musa spp.","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"716","4237","Global","Fruits","PLATANOS","Asignado por la cadena","Todos los tamaños","","","","Musa spp.","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"717","4238","Global","Fruits","PLATANOS","Asignado por la cadena","Todos los tamaños","","","","Musa spp.","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"718","4239","Global","Fruits","Bayas","NegroBayas","Todos los tamaños","","","","Rubus fruticosus","","Approved","","","Vincent Huston","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"719","4240","Global","Fruits","Bayas","AzulBayas","Todos los tamaños","","","","Vaccinium spp.","","Approved","","","Vincent Huston","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"720","4241","Global","Fruits","Bayas","BoysenBayas","Todos los tamaños","","","","Rubus spp.","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"721","4242","Global","Fruits","Bayas","Arandano Rojo/ Cranberries","Todos los tamaños","","","","Vaccinium macrocarpon","","Approved","","","Vincent Huston","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"722","4243","Global","Fruits","Bayas","Gooseberries","Todos los tamaños","","","","Ribes uva-crispa","","Approved","","","Vincent Huston","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"723","4244","Global","Fruits","Bayas","Frambuesa/Raspberries","Todos los tamaños","","","","R.occidentalis","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"724","4245","Global","Fruits","Bayas","Frambuesa/Raspberries","Todos los tamaños","","","","Rubus idaeus","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"725","4246","Global","Fruits","FRESA","Strawberries","Pinta","","","","Fragaria ananassa","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
"726","4247","Global","Fruits","FRESA","Strawberries","Cuarto","","","","Fragaria ananassa","","Approved","","","Webmaster2015","2023-12-19 19:10:28","0000-00-00 00:00:00","","SP"
